geofips,location_name,state,geography_type,year,mode,dest,orig,vmt,dist_within,inflow,outflow
6013,Contra Costa County,CA,county,2021,PRIVATE_AUTO,6544718537,6549825440,6547271988,3133197542,1705760497,1708313949
6013,Contra Costa County,CA,county,2021,PUBLIC_TRANSIT,74980597,69633117,72306857,16290857,29344870,26671130
6013,Contra Costa County,CA,county,2021,WALKING,78427002,78322659,78374831,77886824,270089,217917
6013,Contra Costa County,CA,county,2022,BIKING,55409055,54018880,54713968,43018875,6195090,5500003
6013,Contra Costa County,CA,county,2022,CARPOOL,4502750127,4516800367,4509775247,2062647528,1220051300,1227076420
6013,Contra Costa County,CA,county,2022,COMMERCIAL,367994756,360444915,364219835,144717273,111638741,107863821
6013,Contra Costa County,CA,county,2022,ON_DEMAND_AUTO,65055344,64376398,64715871,18197523,23428911,23089437
6013,Contra Costa County,CA,county,2022,OTHER_TRAVEL_MODE,1375308556,1471937695,1423623125,10546691,682380932,730695502
6013,Contra Costa County,CA,county,2022,PRIVATE_AUTO,7464327661,7438774038,7451550849,3658521198,1902903232,1890126420
6013,Contra Costa County,CA,county,2022,PUBLIC_TRANSIT,117911093,101762831,109836962,22161640,47874727,39800596
6013,Contra Costa County,CA,county,2022,WALKING,132373572,132418956,132396264,130615340,879116,901808
6013,Contra Costa County,CA,county,2023,BIKING,56209850,55315392,55762621,39441535,8384158,7936929
6013,Contra Costa County,CA,county,2023,CARPOOL,4498115413,4596379985,4547247699,1901243390,1298436011,1347568297
6013,Contra Costa County,CA,county,2023,COMMERCIAL,405339751,390659752,397999752,163123464,121108143,113768144
6013,Contra Costa County,CA,county,2023,ON_DEMAND_AUTO,68812501,41490221,55151361,11988064,28412218,14751079
6013,Contra Costa County,CA,county,2023,OTHER_TRAVEL_MODE,1163174895,1516143664,1339659279,6504746,578335074,754819459
6013,Contra Costa County,CA,county,2023,PRIVATE_AUTO,7985865011,7931600377,7958732694,3829763503,2078050754,2050918437
6013,Contra Costa County,CA,county,2023,PUBLIC_TRANSIT,101016964,122199222,111608093,21702529,39657217,50248346
6013,Contra Costa County,CA,county,2023,WALKING,109086044,108895083,108990564,107655679,715183,619702
6015,Del Norte County,CA,county,2019,BIKING,2875295,2920540,2897918,2848967,13164,35787
6015,Del Norte County,CA,county,2019,CARPOOL,33246606,33568567,33407586,22318335,5464136,5625116
6015,Del Norte County,CA,county,2019,COMMERCIAL,21582709,22267946,21925327,8856631,6363039,6705658
6015,Del Norte County,CA,county,2019,ON_DEMAND_AUTO,493593,531783,512688,412920,40337,59432
6015,Del Norte County,CA,county,2019,OTHER_TRAVEL_MODE,59624614,132188789,95906702,1662109,28981253,65263340
6015,Del Norte County,CA,county,2019,PRIVATE_AUTO,178508555,179896045,179202300,96276123,41116216,41809961
6015,Del Norte County,CA,county,2019,WALKING,4692397,4696187,4694292,4692062,168,2063
6015,Del Norte County,CA,county,2021,BIKING,1305933,1305546,1305740,1303713,1110,917
